"three_groups","bmi_cats","n","tot","percent"
0,0,1470,57319,2.56459463703135
0,1,20266,57319,35.3565135469914
0,2,24310,57319,42.4117657321307
0,3,9924,57319,17.3136307332647
0,NA,1349,57319,2.35349535058183
1,0,577,28841,2.00062411150792
1,1,7780,28841,26.9754862868833
1,2,12490,28841,43.3064040775285
1,3,7271,28841,25.2106376339239
1,NA,723,28841,2.50684789015637
2,0,397,25738,1.54246639210506
2,1,5219,25738,20.2774108322325
2,2,10158,25738,39.466936047867
2,3,9154,25738,35.5660890512083
2,NA,810,25738,3.14709767658715
