"three_groups","ethnicity_labels","n","tot","percent"
0,"black",597,57319,1.0415394546311
0,"chinese",167,57319,0.291351907744378
0,"mixed",285,57319,0.497217327587711
0,"other",414,57319,0.722273591653727
0,"se_asian",1117,57319,1.94874299970341
0,"white",54494,57319,95.0714422791744
0,NA,245,57319,0.427432439505225
1,"black",327,28841,1.13380257272633
1,"chinese",61,28841,0.211504455462709
1,"mixed",133,28841,0.461149058631809
1,"other",199,28841,0.68998994487015
1,"se_asian",648,28841,2.2468014285219
1,"white",27355,28841,94.8476127734822
1,NA,118,28841,0.409139766304913
2,"black",253,25738,0.982982360711788
2,"chinese",30,25738,0.116559173206931
2,"mixed",98,25738,0.380759965809309
2,"other",168,25738,0.652731369958816
2,"se_asian",701,25738,2.72359934726863
2,"white",24349,25738,94.6033102805191
2,NA,139,25738,0.540057502525449
