"at_least_one","IMD_quints","n","tot","percent"
0,"(0,8.25]",16323,57319,28.4774682042604
0,"(8.25,13.6]",13893,57319,24.2380362532494
0,"(13.6,21.2]",11224,57319,19.5816395959455
0,"(21.2,34]",8735,57319,15.2392749350128
0,"(34,100]",5447,57319,9.5029571346325
0,NA,1697,57319,2.96062387689946
1,"(0,8.25]",13466,54579,24.6724930834204
1,"(8.25,13.6]",12354,54579,22.6350794261529
1,"(13.6,21.2]",10784,54579,19.7585151798311
1,"(21.2,34]",9347,54579,17.1256344015097
1,"(34,100]",7013,54579,12.8492643690797
1,NA,1615,54579,2.95901354000623
